what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1365656724921
error,log,,,"Core exception while retrieving the content description",1365656724921
error,log,,,"Core exception while retrieving the content description",1365656724921
error,log,,,"Core exception while retrieving the content description",1365656724921
error,log,,,"Core exception while retrieving the content description",1365656724921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365656727968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365657526593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365657600250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365658695468
activated,editor,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1365658697515
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1365658698015
activated,editor,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1365658699968
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1365658701437
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365658701453
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365658701656
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1365658701718
closed,editor,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1365658701718
closed,editor,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1365658701906
closed,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1365658701921
closed,editor,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1365658701937
closed,editor,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1365658701953
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1365658702437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365658705625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365658721312
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1365658721312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365658733796
